timestamp,station,PM2.5,TSP,NO2,SO2,CO,O3,temperature,humidity
2024-01-01T00:00:00,Trạm A,18.00,33.00,12.00,,0.50,,29.00,70.00
2024-01-01T01:00:00,Trạm A,19.21,34.21,13.00,4.00,0.60,21.00,29.33,69.29
2024-01-01T02:00:00,Trạm A,20.36,35.36,14.00,5.00,0.70,22.00,29.65,68.59
2024-01-01T03:00:00,Trạm A,21.39,36.39,15.00,6.00,0.80,23.00,29.96,67.92
2024-01-01T04:00:00,Trạm A,22.25,37.25,16.00,3.00,0.90,24.00,30.24,67.30
2024-01-01T05:00:00,Trạm A,22.90,37.90,17.00,4.00,0.50,25.00,30.48,66.72
2024-01-01T06:00:00,Trạm A,23.31,38.31,18.00,5.00,0.60,26.00,30.68,66.22
2024-01-01T07:00:00,Trạm A,23.48,38.48,12.00,6.00,0.70,27.00,30.84,65.79
2024-01-01T08:00:00,Trạm A,23.40,38.40,13.00,3.00,0.80,28.00,30.94,65.45
2024-01-01T09:00:00,Trạm A,23.09,38.09,14.00,4.00,0.90,20.00,30.99,65.20
2024-01-01T10:00:00,Trạm A,22.59,37.59,15.00,5.00,0.50,21.00,30.99,65.05
2024-01-01T11:00:00,Trạm A,21.95,36.95,16.00,,0.60,22.00,30.93,65.00
2024-01-01T12:00:00,Trạm A,21.20,36.20,17.00,3.00,0.70,23.00,30.82,65.05
2024-01-01T13:00:00,Trạm A,20.43,35.43,18.00,4.00,0.80,,30.66,65.20
2024-01-01T14:00:00,Trạm A,19.68,34.68,12.00,5.00,0.90,25.00,30.45,65.45
2024-01-01T15:00:00,Trạm A,19.01,34.01,13.00,6.00,0.50,26.00,30.20,65.80
2024-01-01T16:00:00,Trạm A,18.49,33.49,14.00,3.00,0.60,27.00,29.91,66.22
2024-01-01T17:00:00,Trạm A,18.16,33.16,15.00,4.00,0.70,28.00,29.61,66.73
2024-01-01T18:00:00,Trạm A,18.05,33.05,16.00,5.00,0.80,20.00,29.28,67.30
2024-01-01T19:00:00,Trạm A,18.18,33.18,17.00,6.00,0.90,21.00,28.95,67.93
2024-01-01T20:00:00,Trạm A,18.56,33.56,18.00,3.00,0.50,22.00,28.62,68.60
2024-01-01T21:00:00,Trạm A,19.18,34.18,12.00,4.00,0.60,23.00,28.30,69.29
2024-01-01T22:00:00,Trạm A,20.02,35.02,13.00,,0.70,24.00,28.00,70.01
2024-01-01T23:00:00,Trạm A,21.03,36.03,14.00,6.00,0.80,25.00,27.72,70.72
2024-01-02T00:00:00,Trạm A,22.16,37.16,15.00,3.00,0.90,26.00,27.49,71.42
2024-01-02T01:00:00,Trạm A,23.37,38.37,16.00,4.00,0.50,27.00,27.29,72.08
2024-01-02T02:00:00,Trạm A,24.58,39.58,17.00,5.00,0.60,,27.14,72.71
